estado,municipio,esperanza
20,79,74.4
21,15,74.4
14,39,74.4
18,20,74.4
19,48,74.4
13,11,73.4
13,18,73.4
13,46,73.4
13,49,73.4
20,334,73.4
14,27,73.4
23,8,76.4
19,18,75.6
19,31,75.4
6,5,75.2
9,3,75.2
14,30,75.2
14,37,75.2
19,13,75.2
19,19,75.2
28,15,75.2
11,21,75.1
14,121,75.1
18,6,75.1
30,28,75.1
9,6,75.1
9,17,75.1
14,3,75.1
14,36,75.1
19,11,75.1
19,44,75.1
19,6,75
19,49,75
3,8,74.9
15,35,74.9
19,4,74.9
19,33,74.9
23,5,74.9
28,24,74.9
5,28,74.8
5,31,74.8
9,5,74.8
9,14,74.8
19,21,74.8
5,6,74.7
14,82,74.7
14,97,74.7
15,104,74.7
28,38,74.7
5,20,74.7
13,61,74.7
15,29,74.7
26,25,74.7
26,58,74.7
9,2,74.7
9,8,74.7
9,16,74.7
15,58,74.7
23,9,74.7
5,3,74.6
15,103,74.6
29,36,74.6
30,118,74.6
5,32,74.6
17,11,74.6
17,31,74.6
25,15,74.6
26,19,74.6
9,10,74.6
9,13,74.6
14,2,74.6
14,9,74.6
15,39,74.6
15,57,74.6
19,9,74.6
19,26,74.6
28,33,74.6
1,5,74.5
5,10,74.5
7,101,74.5
11,27,74.5
13,10,74.5
14,70,74.5
14,101,74.5
15,81,74.5
15,92,74.5
15,96,74.5
15,109,74.5
29,5,74.5
29,43,74.5
29,44,74.5
30,131,74.5
6,2,74.5
13,51,74.5
13,69,74.5
15,13,74.5
15,24,74.5
17,7,74.5
18,8,74.5
26,29,74.5
26,36,74.5
26,43,74.5
30,26,74.5
30,206,74.5
9,11,74.5
10,12,74.5
14,15,74.5
15,31,74.5
15,37,74.5
16,69,74.5
19,12,74.5
19,39,74.5
19,46,74.5
21,41,74.5
23,1,74.5
28,25,74.5
31,41,74.5
31,50,74.5
1,11,74.4
2,3,74.4
4,2,74.4
5,2,74.4
11,15,74.4
11,17,74.4
14,63,74.4
14,83,74.4
14,93,74.4
14,98,74.4
15,76,74.4
15,91,74.4
15,95,74.4
15,100,74.4
15,108,74.4
16,102,74.4
24,35,74.4
25,1,74.4
28,41,74.4
30,138,74.4
5,22,74.4
5,27,74.4
6,10,74.4
13,76,74.4
14,120,74.4
15,2,74.4
15,19,74.4
15,120,74.4
15,122,74.4
17,6,74.4
17,8,74.4
25,12,74.4
26,18,74.4
30,44,74.4
9,4,74.4
9,7,74.4
9,12,74.4
15,30,74.4
15,44,74.4
15,51,74.4
15,53,74.4
15,59,74.4
15,60,74.4
15,62,74.4
16,52,74.4
16,53,74.4
22,6,74.4
28,3,74.4
28,9,74.4
28,32,74.4
30,87,74.4
32,17,74.4
1,1,74.3
2,1,74.3
2,2,74.3
2,4,74.3
2,5,74.3
3,3,74.3
7,74,74.3
11,7,74.3
11,20,74.3
11,25,74.3
14,67,74.3
15,99,74.3
16,88,74.3
20,67,74.3
21,114,74.3
21,119,74.3
24,28,74.3
29,25,74.3
5,18,74.3
5,25,74.3
5,30,74.3
5,35,74.3
6,7,74.3
14,118,74.3
15,11,74.3
15,18,74.3
15,20,74.3
15,25,74.3
15,118,74.3
15,121,74.3
20,385,74.3
25,6,74.3
26,2,74.3
26,17,74.3
26,30,74.3
26,41,74.3
26,48,74.3
26,70,74.3
30,39,74.3
30,193,74.3
9,15,74.3
10,5,74.3
10,7,74.3
10,18,74.3
14,23,74.3
14,44,74.3
15,33,74.3
15,54,74.3
18,17,74.3
19,22,74.3
19,45,74.3
22,11,74.3
22,12,74.3
22,14,74.3
22,16,74.3
27,13,74.3
28,22,74.3
28,27,74.3
32,5,74.3
1,3,74.2
1,6,74.2
1,7,74.2
3,1,74.2
3,2,74.2
4,3,74.2
5,4,74.2
5,7,74.2
5,9,74.2
5,17,74.2
10,36,74.2
10,38,74.2
10,39,74.2
11,2,74.2
11,11,74.2
11,18,74.2
13,5,74.2
13,13,74.2
13,23,74.2
14,58,74.2
