"","county","state","fips","cases","deaths","population","county2","country","border","south","north","case.rate","death.rate","death.rate.pop","quintile.case","quintile.death","observed","exp","sir","lci","uci","crude.rate","adj.rate","lci.rate","uci.rate","sir.cat","beds","beds.icu","beds.icu.adult","beds.rate","beds.icu.rate","beds.cases"
"1","Abala","Yucatán",31001,78,12,7035,NA,"Mexico","No",NA,"No",1108.7,15.4,170.6,3,4,12,20.9903751150652,0.571690593151304,0.324668628293189,1.00665757580541,183.206106870229,171.534951219115,97.4163611992642,302.046177125801,"0.50 to 0.75",0,NA,NA,0,NA,0
"2","Abasolo","Coahuila",5001,18,1,1130,NA,"Mexico","No",NA,"Yes",1592.9,5.6,88.5,4,3,1,4.9401194614298,0.202424254677958,0.0285141878031524,1.43702423385864,97.8473581213307,60.7371103665498,8.55564158735759,431.177082164074,"0 to 0.25",0,NA,NA,0,NA,0
"3","Abasolo","Guanajuato",11001,964,112,95581,NA,"Mexico","No",NA,"No",1008.6,11.6,117.2,3,3,112,284.509814981762,0.39365952983794,0.327106959149748,0.473752762200588,121.69283424784,118.116983306421,98.1479789126682,142.148844020757,"0.25 to 0.50",52,NA,NA,5.4,NA,0.1
"4","Abasolo","Nuevo León",19001,52,3,2918,NA,"Mexico","No",NA,"No",1782,5.8,102.8,4,3,3,8.77576306220625,0.341850615010313,0.110254144928857,1.05993151602905,100.942126514132,102.571791931687,33.0815997300681,318.030947291668,"0.25 to 0.50",0,NA,NA,0,NA,0
"5","Abasolo","Tamaulipas",28001,156,11,12768,NA,"Mexico","No",NA,"Yes",1221.8,7.1,86.2,3,2,11,39.5095910671464,0.278413410589483,0.154185391797735,0.502732627859798,111.993484015475,83.5375487656043,46.2631080125623,150.844211588006,"0.25 to 0.50",18,NA,NA,14.1,NA,0.1
"6","Abejones","Oaxaca",20001,28,5,1033,NA,"Mexico","No",NA,"No",2710.6,17.9,484,5,5,5,2.84785525934319,1.75570720583362,0.730774171015495,4.21814004226859,594.530321046373,526.797455678986,219.26775301016,1265.64693394288,"1.75 to 2.00",2,NA,NA,19.4,NA,0.1
"7","Acacoyagua","Chiapas",7001,50,5,19856,NA,"Mexico","No",NA,"No",251.8,10,25.2,1,1,5,48.7312657159491,0.102603532384006,0.0427064439173289,0.246508111938679,27.7870401244859,30.786044292566,12.814007894935,73.9644091805551,"0 to 0.25",0,NA,NA,0,NA,0
"8","Acajete","Puebla",21001,349,58,69076,NA,"Mexico","No",NA,"No",505.2,16.6,84,2,2,58,174.949601677469,0.331524047176322,0.256298932457157,0.428828137528588,79.6189273408651,99.4733199069853,76.9021309834882,128.669274138086,"0.25 to 0.50",48,NA,NA,6.9,NA,0.1
"9","Acajete","Veracruz",30001,49,8,9131,NA,"Mexico","No",NA,"No",536.6,16.3,87.6,2,3,8,26.9643453300561,0.296688085769422,0.14837301261475,0.593260315243972,82.4657251829708,89.0208391207185,44.5191118867479,178.006915724566,"0.25 to 0.50",0,NA,NA,0,NA,0
"10","Acala","Chiapas",7002,243,10,34494,NA,"Mexico","No",NA,"No",704.5,4.1,29,2,1,10,62.090158538321,0.161056119607557,0.0866570037496379,0.299330377703626,47.1987539528956,48.3246601420122,26.0013110047005,89.8136550660394,"0 to 0.25",48,NA,NA,13.9,NA,0.2
"11","Acambaro","Guanajuato",11002,4635,234,118967,NA,"Mexico","No",NA,"No",3896,5,196.7,5,4,234,422.549657265117,0.553781066856204,0.487184337833271,0.629481381467046,215.346671329444,166.161223268733,146.178969229304,188.874995245397,"0.50 to 0.75",121,NA,NA,10.2,NA,0
"12","Acambay de Ruiz Castañeda","México",15001,895,62,69520,NA,"Mexico","No",NA,"No",1287.4,6.9,89.2,3,3,62,195.888440754532,0.316506679828506,0.246763076467653,0.405962187739203,91.3551505149778,94.9673801446262,74.0409109256672,121.808378351643,"0.25 to 0.50",28,NA,NA,4,NA,0
"13","Acanceh","Yucatán",31002,524,56,17390,NA,"Mexico","No",NA,"No",3013.2,10.7,322,5,5,56,49.4481960903142,1.13249834023711,0.871547343358452,1.47158097653947,333.929636255218,339.804519919549,261.506543607888,441.545783767806,"1.00 to 1.25",47,NA,NA,27,NA,0.1
"14","Acapetahua","Chiapas",7003,170,11,31069,NA,"Mexico","No",NA,"No",547.2,6.5,35.4,2,1,11,85.0710413800322,0.12930369514181,0.0716084072750769,0.233484393991616,40.8982748364069,38.7973902392539,21.4860009871771,70.0566610918094,"0 to 0.25",5,NA,NA,1.6,NA,0
"15","Acaponeta","Nayarit",18001,986,92,40422,NA,"Mexico","No",NA,"No",2439.3,9.3,227.6,5,5,92,139.271349611335,0.66058094688351,0.538495585880517,0.810344966286012,247.198860735685,198.206375716855,161.574836392797,243.142857216364,"0.50 to 0.75",57,NA,NA,14.1,NA,0.1
"16","Acapulco de Juarez","Guerrero",12001,30662,2715,840795,NA,"Mexico","No",NA,"No",3646.8,8.9,322.9,5,5,2715,2611.91619744911,1.03946673428939,1.0010932407412,1.07931114477836,352.425309199664,311.890518571176,300.376606285838,323.845777397291,"1.00 to 1.25",1500,NA,NA,17.8,NA,0
"17","Acateno","Puebla",21002,39,14,9700,NA,"Mexico","No",NA,"No",402.1,35.9,144.3,2,4,14,33.5760374312256,0.416964033611067,0.24694794344537,0.704030990902635,152.671755725191,125.109466593357,74.096379999996,211.243499767131,"0.25 to 0.50",6,NA,NA,6.2,NA,0.2
"18","Acatepec","Guerrero",12076,49,3,38738,NA,"Mexico","No",NA,"No",126.5,6.1,7.7,1,1,3,76.8752730239951,0.0390242516480378,0.0125861569586854,0.120997395923819,7.46324352563624,11.7091713297388,3.7764585351028,36.3050969459261,"0 to 0.25",31,NA,NA,8,NA,0.6
"19","Acatic","Jalisco",14001,200,39,23033,NA,"Mexico","No",NA,"No",868.3,19.5,169.3,3,4,39,69.8438069413226,0.558388806508855,0.407976710728867,0.76425455432822,168.284789644013,167.543769012911,122.412833115988,229.313494512899,"0.50 to 0.75",7,NA,NA,3,NA,0
"20","Acatlan","Hidalgo",13001,229,43,22119,NA,"Mexico","No",NA,"No",1035.3,18.8,194.4,3,4,43,66.8927568599905,0.642819970628522,0.47674082338417,0.866755046705687,193.102209448536,192.87721999521,143.045407538691,260.068621797721,"0.50 to 0.75",5,NA,NA,2.3,NA,0
"21","Acatlan","Puebla",21003,521,83,37718,NA,"Mexico","No",NA,"No",1381.3,15.9,220.1,4,5,83,138.880862420428,0.597634537642327,0.481952436486072,0.741083587391054,218.680015808194,179.319394947964,144.609144654392,222.361078764098,"0.50 to 0.75",87,NA,NA,23.1,NA,0.2
"22","Acatlan","Veracruz",30002,13,6,3344,NA,"Mexico","No",NA,"No",388.8,46.2,179.4,2,4,6,10.5568377923729,0.568352012032893,0.255338220236622,1.26508287432446,174.3679163034,170.533214692139,76.6138706450126,379.586321228745,"0.50 to 0.75",0,NA,NA,0,NA,0
"23","Acatlan de Juarez","Jalisco",14002,422,43,24131,NA,"Mexico","No",NA,"No",1748.8,10.2,178.2,4,4,43,70.806885964539,0.60728556854675,0.450387099354152,0.818841752559069,170.32401172463,182.215173075568,135.138010040662,245.692305880254,"0.50 to 0.75",3,NA,NA,1.2,NA,0
"24","Acatlan de Perez Figueroa","Oaxaca",20002,165,37,47616,NA,"Mexico","No",NA,"No",346.5,22.4,77.7,1,2,37,150.899092242509,0.245196968716933,0.177655405050276,0.338416686230055,81.9200283399017,73.5710025174442,53.3052521839305,101.541446474078,"0 to 0.25",19,NA,NA,4,NA,0.1
"25","Acatzingo","Puebla",21004,242,52,62477,NA,"Mexico","No",NA,"No",387.3,21.5,83.2,2,2,52,143.658073694986,0.361970606054526,0.275824531493297,0.475021996550242,81.6211210347047,108.608766693286,82.7607592665353,142.529675986267,"0.25 to 0.50",45,NA,NA,7.2,NA,0.2
"26","Acaxochitlan","Hidalgo",13002,347,68,46234,NA,"Mexico","No",NA,"No",750.5,19.6,147.1,2,4,68,116.80807126841,0.582151552213754,0.459000026505462,0.738345120206329,147.636726806922,174.673747141208,137.722306610262,221.539405571335,"0.50 to 0.75",9,NA,NA,1.9,NA,0
"27","Acayucan","Veracruz",30003,523,120,91195,NA,"Mexico","No",NA,"No",573.5,22.9,131.6,2,3,120,276.211216317677,0.43445013421173,0.363275593820698,0.519569501301951,148.509337524597,130.356146264984,109.000326420687,155.896091572006,"0.25 to 0.50",5,NA,NA,0.5,NA,0
"28","Acolman","México",15002,2467,196,186256,NA,"Mexico","No",NA,"No",1324.5,7.9,105.2,4,3,196,458.928551997932,0.427081730144528,0.3712879744388,0.491259660372622,114.285047900595,128.145267080733,111.404429855202,147.401763974161,"0.25 to 0.50",791,NA,NA,42.5,NA,0.3
"29","Aconchi","Sonora",26001,57,7,3025,NA,"Mexico","No",NA,"Yes",1884.3,12.3,231.4,4,5,7,10.5471864748517,0.663684103499123,0.316400727120638,1.39214784127057,273.117440499415,199.137473455845,94.9355891849822,417.711984249742,"0.50 to 0.75",0,NA,NA,0,NA,0
"30","Acteopan","Puebla",21005,12,4,3132,NA,"Mexico","No",NA,"No",383.1,33.3,127.7,2,3,4,11.4383239780154,0.349701582826999,0.131249248800626,0.931747786362382,130.293159609121,104.92746368419,39.3811508537491,279.569601103947,"0.25 to 0.50",2,NA,NA,6.4,NA,0.2
"31","Actopan","Hidalgo",13003,1230,204,61311,NA,"Mexico","No",NA,"No",2006.2,16.6,332.7,4,5,204,197.057217788308,1.03523231622579,0.902488740280231,1.18750063100559,334.426229508197,310.619987440031,270.790465846966,356.307879213784,"1.00 to 1.25",65,NA,NA,10.6,NA,0.1
"32","Actopan","Veracruz",30004,240,47,45818,NA,"Mexico","No",NA,"No",523.8,19.6,102.6,2,3,47,179.373761583758,0.262022714944591,0.196869499142038,0.348738140982421,112.604518555787,78.6195437965252,59.0704138504573,104.638384325894,"0.25 to 0.50",3,NA,NA,0.7,NA,0
"33","Acuamanala de Miguel Hidalgo","Tlaxcala",29022,144,13,6934,NA,"Mexico","No",NA,"No",2076.7,9,187.5,4,4,13,16.8828616571802,0.770011640441959,0.44711213693622,1.32610563980439,202.713238733822,231.040900031749,134.155362214488,397.896115416816,"0.75 to 1.00",3,NA,NA,4.3,NA,0
